Prompt,Prompt_Type,Prompt_Length,HCI_Application
Please Good afternoon,Declarative,21,Conversational UI
Visualize population growth as bar,Declarative,34,Graph Generation
I need suggestions for a game,Declarative,29,Chatbot Interface
What is the capital of Germany thanks,Interrogative,37,Location Services UI
Help with learning,Declarative,18,Voice Calculator
Could you Show me the train station,Declarative,35,Location Services UI
Write HTML code for validate form?,Declarative,34,Code Generator
Code example for parse JSON in HTML,Declarative,35,Code Generator
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Define AI,Declarative,9,Educational Bot
Translate maybe to Dutch,Imperative,24,Real-Time Translation UI
Plot a graph for sales data,Declarative,27,Graph Generation
Hey!!,Conversational,5,Conversational UI
Tell me a joke,Declarative,14,Chatbot Interface
Visualize temperature changes as line,Declarative,37,Graph Generation
29 over 41 equals what thanks,Declarative,29,Voice Calculator
Suggest something,Declarative,17,Chatbot Interface
Give me advice on health thanks,Declarative,31,Chatbot Interface
Create a chart showing stock prices,Declarative,35,Graph Generation
Can you translate maybe into German,Declarative,35,Real-Time Translation UI
Tell me about enzymes,Declarative,21,Educational Bot
Compute 7 divided by 33,Declarative,23,Voice Calculator
Translate please help me to Russian,Imperative,35,Real-Time Translation UI
Create a chart showing sales data,Declarative,33,Graph Generation
History of the Roman Empire,Conversational,27,Knowledge Assistant
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Create a chart showing population growth,Declarative,40,Graph Generation
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
Tell me about cell division,Declarative,27,Educational Bot
How do you say good morning in German,Interrogative,37,Real-Time Translation UI
Capital of Germany,Declarative,18,Location Services UI
Create a JavaScript script that animate an element,Declarative,50,Code Generator
I need suggestions for a game,Declarative,29,Chatbot Interface
Can you translate goodbye into Korean,Declarative,37,Real-Time Translation UI
Capital of Russia,Declarative,17,Location Services UI
excuse me in Japanese,Declarative,21,Real-Time Translation UI
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
What do you think about hobbies,Interrogative,31,Chatbot Interface
How are you,Interrogative,11,Conversational UI
What can you do,Interrogative,15,Conversational UI
Recommend a movie,Declarative,17,Chatbot Interface
Visualize user growth as scatter,Declarative,32,Graph Generation
Code example for handle errors in Python thanks,Declarative,47,Code Generator
help me decide,Declarative,14,Chatbot Interface
What is 94 over 2,Interrogative,17,Voice Calculator
Recommend a movie,Declarative,17,Chatbot Interface
Who invented the light bulb,Interrogative,27,Knowledge Assistant
Visualize sales data as scatter!!,Declarative,33,Graph Generation
Facts about the pyramids,Declarative,24,Knowledge Assistant
72 over 38 equals what,Declarative,22,Voice Calculator
Convert no from English to Korean,Declarative,33,Real-Time Translation UI
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Good afternoon,Declarative,14,Conversational UI
I would like to exercise,Declarative,24,Chatbot Interface
What's up,Interrogative,9,Conversational UI
Could you Capital of France,Declarative,27,Location Services UI
Tell me about cell division,Declarative,27,Educational Bot
Find the library near me,Imperative,24,Location Services UI
What is democracy please,Interrogative,24,Educational Bot
Find the airport near me,Imperative,24,Location Services UI
History of space exploration,Conversational,28,Knowledge Assistant
That's interesting,Declarative,18,Conversational UI
Compute 49 over 44,Declarative,18,Voice Calculator
What about math,Interrogative,15,Educational Bot
Create a chart showing user growth,Declarative,34,Graph Generation
Code example for sort a list in JavaScript,Declarative,42,Code Generator
Calculate 23 multiplied by 15,Imperative,29,Voice Calculator
There's an error in <div class='btn' onclick='alert('hi')'>,Declarative,59,Code Rectification
Goodbye,Declarative,7,Conversational UI
Create a chart showing sales data,Declarative,33,Graph Generation
Tell me more,Declarative,12,Conversational UI
I need suggestions for a game,Declarative,29,Chatbot Interface
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Hey,Conversational,3,Conversational UI
What happened in the Renaissance,Interrogative,32,Knowledge Assistant
That's interesting,Declarative,18,Conversational UI
That's interesting,Declarative,18,Conversational UI
That's interesting,Declarative,18,Conversational UI
21 add 5 equals what,Declarative,20,Voice Calculator
What can you do,Interrogative,15,Conversational UI
Correct this HTML code: if x = 10: print('hi'),Declarative,46,Code Rectification
I would like to learn something new,Declarative,35,Chatbot Interface
Graph user growth,Declarative,17,Graph Generation
Find the result of 94 squared,Imperative,29,Voice Calculator
Find the answer to that question,Imperative,32,Chatbot Interface
Translate nice to meet you to Japanese,Imperative,38,Real-Time Translation UI
What is your name,Interrogative,17,Conversational UI
Correct this HTML code: if x = 10: print('hi'),Declarative,46,Code Rectification
Calculate square root of 49,Imperative,27,Voice Calculator
Tell me about machine learning,Declarative,30,Educational Bot
Find the answer to this problem,Imperative,31,Knowledge Assistant
Find the answer to this problem,Imperative,31,Knowledge Assistant
Code example for handle errors in HTML,Declarative,38,Code Generator
Who discovered the steam engine,Interrogative,31,Knowledge Assistant
Write CSS code for validate form,Declarative,32,Code Generator
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Correct this JavaScript code: try: pass except: pass?,Declarative,53,Code Rectification
Convert nice to meet you from English to Dutch,Declarative,46,Real-Time Translation UI
Visualize temperature changes as bar please,Declarative,43,Graph Generation
What is DNA,Interrogative,11,Educational Bot
Directions to the nearest hospital,Declarative,34,Location Services UI
Find the result of 79 divided by 40,Imperative,35,Voice Calculator
Plot a graph for population growth,Declarative,34,Graph Generation
Create a CSS script that a login API,Declarative,36,Code Generator
Generate code in html to animate an element,Declarative,43,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
Calculate 10 times 4,Imperative,20,Voice Calculator
Capital of France,Declarative,17,Location Services UI
Can you translate I love you into Spanish,Declarative,41,Real-Time Translation UI
Information on science,Declarative,22,Code Rectification
Tell me about climate change,Declarative,28,Educational Bot
Find the result of 26 subtract 31,Imperative,33,Voice Calculator
Who wrote The Odyssey,Interrogative,21,Knowledge Assistant
Translate yes to Japanese,Imperative,25,Real-Time Translation UI
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
How are you,Interrogative,11,Conversational UI
Can you translate how are you into French,Declarative,41,Real-Time Translation UI
Create a chart showing population growth,Declarative,40,Graph Generation
Can you help me,Declarative,15,Chatbot Interface
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
Graph user growth,Declarative,17,Graph Generation
Describe democracy?,Declarative,19,Educational Bot
Explain the water cycle,Imperative,23,Educational Bot
Tell me about magnetism,Declarative,23,Educational Bot
Tell me about climate change,Declarative,28,Educational Bot
Help with learning,Declarative,18,Knowledge Assistant
sorry in Italian,Declarative,16,Real-Time Translation UI
Help with learning,Declarative,18,Knowledge Assistant
What's up thanks,Interrogative,16,Conversational UI
Graph population growth,Declarative,23,Graph Generation
Compute 26 minus 30,Declarative,19,Voice Calculator
Code example for style a button in Python,Declarative,41,Code Generator
74 over 9 equals what,Declarative,21,Voice Calculator
how are you in Italian,Interrogative,22,Real-Time Translation UI
What is the capital of India,Interrogative,28,Location Services UI
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
Graph user growth,Declarative,17,Graph Generation
Suggest something,Declarative,17,Chatbot Interface
What is blockchain,Interrogative,18,Educational Bot
Find the answer to that question thanks,Imperative,39,Location Services UI
Code example for create a web page in JavaScript,Declarative,48,Code Generator
teach me quantum mechanics,Declarative,26,Educational Bot
Generate code in HTML to handle errors,Declarative,38,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
Convert thank you from English to Arabic,Declarative,40,Real-Time Translation UI
Capital of Spain,Declarative,16,Location Services UI
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
Recommend a book,Declarative,16,Chatbot Interface
Define AI,Declarative,9,Educational Bot
Can you translate I love you into Korean,Declarative,40,Real-Time Translation UI
How do you say how are you in Russian,Interrogative,37,Real-Time Translation UI
Where is Tokyo,Interrogative,14,Location Services UI
What do you think about hobbies,Interrogative,31,Chatbot Interface
How's it going,Interrogative,14,Conversational UI
What can you do,Interrogative,15,Conversational UI
What is electricity,Interrogative,19,Educational Bot
Create a Python script that animate an element,Declarative,46,Code Generator
How to validate form in JavaScript,Interrogative,34,Code Generator
Calculate 83 multiplied by 11,Imperative,29,Voice Calculator
What's the German word for good morning,Interrogative,39,Real-Time Translation UI
I need help with research,Declarative,25,Graph Generation
Hi there,Conversational,8,Conversational UI
I'm confused please,Declarative,19,Conversational UI
Describe magnetism,Declarative,18,Educational Bot
Recommend a book,Declarative,16,Chatbot Interface
maybe in Russian,Declarative,16,Real-Time Translation UI
Graph user growth,Declarative,17,Graph Generation
Graph population growth,Declarative,23,Graph Generation
Solve 99 subtract 25,Imperative,20,Voice Calculator
Where is the beach,Interrogative,18,Location Services UI
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
Who invented the light bulb,Interrogative,27,Knowledge Assistant
Correct this JavaScript code: for i in range(10) print(i),Declarative,57,Code Rectification
Graph stock prices?,Declarative,19,Graph Generation
Facts about the pyramids,Declarative,24,Knowledge Assistant
Good morning,Conversational,12,Conversational UI
Recommend a movie,Declarative,17,Chatbot Interface
Teach me quantum mechanics,Declarative,26,Educational Bot
Debug the following: button { color red; } thanks,Declarative,49,Code Rectification
Help with research,Declarative,18,Graph Generation
Solve 46 divided by 49,Imperative,22,Voice Calculator
Generate code in JavaScript to validate form!!,Declarative,46,Code Generator
Help with homework,Declarative,18,Code Rectification
Can you help me,Declarative,15,Chatbot Interface
Graph population growth,Declarative,23,Graph Generation
Correct this CSS code: <div class='btn' onclick='alert('hi')'>,Declarative,62,Code Rectification
Suggest something,Declarative,17,Chatbot Interface
Help me decide,Declarative,14,Chatbot Interface
Code example for style a button in HTML,Declarative,39,Code Generator
Explain AI,Imperative,10,Educational Bot
Write CSS code for parse JSON,Declarative,29,Code Generator
Generate code in CSS to style a button,Declarative,38,Code Generator
Facts about Greek mythology,Declarative,27,Knowledge Assistant
History of Greek mythology,Conversational,26,Knowledge Assistant
What's the Japanese word for excuse me,Interrogative,38,Real-Time Translation UI
Visualize temperature changes as scatter,Declarative,40,Graph Generation
I'm confused,Declarative,12,Conversational UI
Tell me more,Declarative,12,Code Rectification
Visualize sales data as scatter,Declarative,31,Graph Generation
Graph temperature changes,Declarative,25,Graph Generation
goodbye in Chinese,Declarative,18,Real-Time Translation UI
Create a chart showing population growth,Declarative,40,Graph Generation
I need to understand blockchain,Declarative,31,Educational Bot
Tell me about electricity,Declarative,25,Educational Bot
Suggest something,Declarative,17,Chatbot Interface
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Plot a graph for population growth,Declarative,34,Graph Generation
i need to understand enzymes,Declarative,28,Educational Bot
I need help with learning,Declarative,25,Educational Bot
Plot a graph for stock prices,Declarative,29,Graph Generation
Help me decide,Declarative,14,Chatbot Interface
How are you,Interrogative,11,Conversational UI
Code example for sort a list in JavaScript,Declarative,42,Code Generator
Generate code in Python to parse JSON,Declarative,37,Code Generator
goodbye in French,Declarative,17,Real-Time Translation UI
Explain gravity,Imperative,15,Educational Bot
How far is the airport,Interrogative,22,Location Services UI
How far is the library,Interrogative,22,Location Services UI
Help with learning,Declarative,18,Educational Bot
Who discovered penicillin,Interrogative,25,Knowledge Assistant
Facts about the pyramids,Declarative,24,Knowledge Assistant
Tell me about climate change,Declarative,28,Educational Bot
Find the beach near me,Imperative,22,Location Services UI
Teach me cell division,Declarative,22,Educational Bot
Suggest something,Declarative,17,Chatbot Interface
Translate I love you to Italian,Imperative,31,Real-Time Translation UI
Suggest something,Declarative,17,Chatbot Interface
Graph sales data,Declarative,16,Graph Generation
Teach me AI,Declarative,11,Educational Bot
What is the capital of Canada,Interrogative,29,Location Services UI
Can you help me,Declarative,15,Chatbot Interface
Give me advice on career,Declarative,24,Chatbot Interface
Share a fun fact with me,Declarative,24,Chatbot Interface
I would like to exercise,Declarative,24,Chatbot Interface
Graph user growth,Declarative,17,Graph Generation
Hi there,Conversational,8,Conversational UI
What is AI,Interrogative,10,Educational Bot
hello in French,Conversational,15,Real-Time Translation UI
Compute 59 over 39,Declarative,18,Voice Calculator
Show me the museum,Imperative,18,Location Services UI
How does quantum mechanics work,Interrogative,31,Educational Bot
Show me Paris,Imperative,13,Location Services UI
How do you say thank you in Portuguese,Interrogative,38,Real-Time Translation UI
Plot a graph for sales data,Declarative,27,Graph Generation
When was the Renaissance,Interrogative,24,Knowledge Assistant
Tell me more,Declarative,12,Conversational UI
Show me information about geography,Imperative,35,Real-Time Translation UI
What's the Hindi word for excuse me,Interrogative,35,Real-Time Translation UI
Give me advice on relationships,Declarative,31,Chatbot Interface
Tell me something,Declarative,17,Conversational UI
How to handle errors in Python,Interrogative,30,Code Generator
What's the Russian word for where is the bathroom!!,Interrogative,51,Real-Time Translation UI
Generate code in HTML to parse JSON,Declarative,35,Code Generator
Please Who wrote Pride and Prejudice,Declarative,36,Knowledge Assistant
Find the museum near me,Imperative,23,Location Services UI
what is square root of 64,Interrogative,25,Voice Calculator
Generate code in css to fetch data from api,Declarative,43,Code Generator
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Could you How do you say nice to meet you in Spanish,Declarative,52,Real-Time Translation UI
Code example for style a button in JavaScript,Declarative,45,Code Generator
Solve 10 over 38 please,Imperative,23,Voice Calculator
26 minus 30 equals what?,Declarative,24,Voice Calculator
Hello,Conversational,5,Conversational UI
There's an error in fetch(url).then(res => res.json,Declarative,51,Code Rectification
Compute 41 subtract 26,Declarative,22,Voice Calculator
Can you translate maybe into Portuguese,Declarative,39,Real-Time Translation UI
There's an error in <div class='btn' onclick='alert('hi')'>,Declarative,59,Code Rectification
When was World War II,Interrogative,21,Knowledge Assistant
History of the Titanic,Conversational,22,Knowledge Assistant
Correct this JavaScript code: fetch(url).then(res => res.json,Declarative,61,Code Rectification
Show me information about math,Imperative,30,Real-Time Translation UI
Write JavaScript code for compute factorial,Declarative,43,Code Generator
Please Create a chart showing population growth,Declarative,47,Graph Generation
What's the Russian word for where is the bathroom?,Interrogative,50,Real-Time Translation UI
Translate yes to Russian,Imperative,24,Real-Time Translation UI
How far is a library,Interrogative,20,Location Services UI
Find the result of 63 plus 2,Imperative,28,Voice Calculator
Generate code in JavaScript to animate an element,Declarative,49,Code Generator
Translate nice to meet you to Chinese,Imperative,37,Real-Time Translation UI
Who invented the telephone,Interrogative,26,Knowledge Assistant
Generate code in Python to validate form,Declarative,40,Code Generator
Define magnetism,Declarative,16,Educational Bot
Show me information about math,Imperative,30,Real-Time Translation UI
Describe climate change,Declarative,23,Educational Bot
Please There's an error in button { color red; },Declarative,48,Code Rectification
Facts about dinosaurs,Declarative,21,Knowledge Assistant
Write Python code for compute factorial,Declarative,39,Code Generator
Translate nice to meet you to German,Imperative,36,Real-Time Translation UI
History of dinosaurs,Conversational,20,Knowledge Assistant
Translate hello to Chinese,Imperative,26,Real-Time Translation UI
Information on history,Declarative,22,Voice Calculator
Where is the airport,Interrogative,20,Location Services UI
Thank you,Conversational,9,Conversational UI
What happened in the French Revolution,Interrogative,38,Knowledge Assistant
Calculate 63 to the power of 22,Imperative,31,Voice Calculator
Correct this CSS code: for i in range(10) print(i),Declarative,50,Code Rectification
Translate sorry to german,Imperative,25,Real-Time Translation UI
Could you Debug the following: fetch(url).then(res => res.json,Declarative,62,Code Rectification
Calculate 56 minus 15,Imperative,21,Voice Calculator
Hey,Conversational,3,Conversational UI
Capital of China,Declarative,16,Location Services UI
Please Translate I love you to Korean,Declarative,37,Real-Time Translation UI
Recommend a game,Declarative,16,Chatbot Interface
Convert thank you from English to Russian,Declarative,41,Real-Time Translation UI
Generate code in Python to fetch data from API,Declarative,46,Code Generator
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
Show me information about technology,Imperative,36,Graph Generation
Who wrote The Great Gatsby thanks,Interrogative,33,Knowledge Assistant
I would like to cook,Declarative,20,Chatbot Interface
Fix this code: button { color red; },Declarative,36,Code Rectification
Calculate 51 add 33,Imperative,19,Voice Calculator
Find the answer to my query,Imperative,27,Voice Calculator
What is the capital of India,Interrogative,28,Location Services UI
Information on history,Declarative,22,Code Rectification
What can you do,Interrogative,15,Conversational UI
Facts about ancient Egypt,Declarative,25,Knowledge Assistant
I need to understand AI,Declarative,23,Educational Bot
Convert excuse me from English to Spanish,Declarative,41,Real-Time Translation UI
Find the answer to that question,Imperative,32,Code Generator
graph temperature changes,Declarative,25,Graph Generation
What's the Dutch word for maybe,Interrogative,31,Real-Time Translation UI
8 times 50 equals what,Declarative,22,Voice Calculator
Recommend music,Declarative,15,Chatbot Interface
Information on science,Declarative,22,Conversational UI
Describe DNA,Declarative,12,Educational Bot
What is your name,Interrogative,17,Conversational UI
Plot a graph for sales data,Declarative,27,Graph Generation
Define gravity,Declarative,14,Educational Bot
What is your name,Interrogative,17,Conversational UI
Hey,Conversational,3,Conversational UI
Goodbye,Declarative,7,Conversational UI
Plot a graph for sales data,Declarative,27,Graph Generation
Tell me about cell division,Declarative,27,Educational Bot
What is AI,Interrogative,10,Educational Bot
Directions to Times Square,Declarative,26,Location Services UI
Correct this JavaScript code: button { color red; },Declarative,51,Code Rectification
Create a chart showing temperature changes,Declarative,42,Graph Generation
Tell me more,Declarative,12,Graph Generation
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
What's up,Interrogative,9,Conversational UI
How does evolution work,Interrogative,23,Educational Bot
Tell me about World War II,Declarative,26,Knowledge Assistant
Create a HTML script that style a button!!,Declarative,42,Code Generator
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Who discovered the steam engine,Interrogative,31,Knowledge Assistant
Help with homework,Declarative,18,Educational Bot
59 subtract 10 equals what,Declarative,26,Voice Calculator
Generate code in CSS to fetch data from API,Declarative,43,Code Generator
I need to understand the solar system,Declarative,37,Educational Bot
What do you think about health,Interrogative,30,Chatbot Interface
34 times 9 equals what,Declarative,22,Voice Calculator
Hi there,Conversational,8,Conversational UI
Code example for sort a list in HTML,Declarative,36,Code Generator
Translate sorry to Korean,Imperative,25,Real-Time Translation UI
Find the answer to that question,Imperative,32,Educational Bot
Where is the library,Interrogative,20,Location Services UI
Correct this JavaScript code: fetch(url).then(res => res.json,Declarative,61,Code Rectification
Plot a graph for population growth,Declarative,34,Graph Generation
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Graph temperature changes,Declarative,25,Graph Generation
How to validate form in JavaScript,Interrogative,34,Code Generator
Tell me about the Cold War?,Declarative,27,Knowledge Assistant
What can you do,Interrogative,15,Conversational UI
When was World War II,Interrogative,21,Knowledge Assistant
I need help with homework,Declarative,25,Real-Time Translation UI
Could you How's it going,Declarative,24,Conversational UI
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Fix this code: try: pass except: pass?,Declarative,38,Code Rectification
Where is the museum thanks,Interrogative,26,Location Services UI
Please Create a CSS script that a login API,Declarative,43,Code Generator
How does blockchain work,Interrogative,24,Educational Bot
Information on math,Declarative,19,Graph Generation
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Nice to meet you,Declarative,16,Conversational UI
Give me 32 to the power of 49,Declarative,29,Voice Calculator
Teach me cell division,Declarative,22,Educational Bot
How to handle errors in Python,Interrogative,30,Code Generator
Explain evolution,Imperative,17,Educational Bot
find the airport near me,Imperative,24,Location Services UI
When was a Cold War,Interrogative,19,Knowledge Assistant
Tell me something,Declarative,17,Conversational UI
Give me 93 add 13,Declarative,17,Voice Calculator
Suggest something,Declarative,17,Chatbot Interface
Tell me more,Declarative,12,Location Services UI
Where is Tokyo,Interrogative,14,Location Services UI
How do you say good morning in French,Interrogative,37,Real-Time Translation UI
How far is the nearest hospital,Interrogative,31,Location Services UI
What do you think about hobbies,Interrogative,31,Chatbot Interface
That's interesting,Declarative,18,Conversational UI
Directions to Central Park,Declarative,26,Location Services UI
Create a JavaScript script that create a web page,Declarative,49,Code Generator
Create a chart showing stock prices,Declarative,35,Graph Generation
find the answer to that question,Imperative,32,Graph Generation
Write Python code for a login API,Declarative,33,Code Generator
Directions to the nearest hospital,Declarative,34,Location Services UI
Hey,Conversational,3,Conversational UI
Can you translate I love you into French,Declarative,40,Real-Time Translation UI
Code example for sort a list in HTML,Declarative,36,Code Generator
Generate code in CSS to fetch data from API,Declarative,43,Code Generator
Can you help me,Declarative,15,Chatbot Interface
How to create a web page in HTML,Interrogative,32,Code Generator
I need to understand the water cycle,Declarative,36,Educational Bot
Show me the nearest hospital,Imperative,28,Location Services UI
What is evolution,Interrogative,17,Educational Bot
How to parse JSON in CSS,Interrogative,24,Code Generator
Hello,Conversational,5,Conversational UI
That's interesting,Declarative,18,Conversational UI
Teach me gravity,Declarative,16,Educational Bot
maybe in Dutch,Declarative,14,Real-Time Translation UI
History of Greek mythology,Conversational,26,Knowledge Assistant
please help me in Arabic,Declarative,24,Real-Time Translation UI
I need to understand AI,Declarative,23,Educational Bot
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Recommend music,Declarative,15,Chatbot Interface
How do you say thank you in Arabic,Interrogative,34,Real-Time Translation UI
Could you Find the answer to this problem,Declarative,41,Code Generator
Give me 90 minus 37,Declarative,19,Voice Calculator
Translate sorry to Arabic,Imperative,25,Real-Time Translation UI
Plot a graph for temperature changes,Declarative,36,Graph Generation
thank you in Hindi,Conversational,18,Real-Time Translation UI
Create a chart showing temperature changes,Declarative,42,Graph Generation
Tell me about cell division,Declarative,27,Educational Bot
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Goodbye,Declarative,7,Conversational UI
Tell me about the French Revolution,Declarative,35,Knowledge Assistant
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Visualize user growth as scatter,Declarative,32,Graph Generation
Show me information about geography,Imperative,35,Conversational UI
Translate I love you to Arabic,Imperative,30,Real-Time Translation UI
Compute 27 multiplied by 49 thanks,Declarative,34,Voice Calculator
What about technology,Interrogative,21,Educational Bot
Debug the following: button { color red; },Declarative,42,Code Rectification
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
Could you Help with understanding,Declarative,33,Knowledge Assistant
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
What is 70 plus 14!!,Interrogative,20,Voice Calculator
Tell me a fun fact,Declarative,18,Chatbot Interface
Give me advice on relationships,Declarative,31,Chatbot Interface
I need to understand cell division,Declarative,34,Educational Bot
Find the nearest hospital near me,Imperative,33,Location Services UI
Navigate to the museum,Declarative,22,Location Services UI
Explain AI,Imperative,10,Educational Bot
Information on science,Declarative,22,Conversational UI
Explain blockchain,Imperative,18,Educational Bot
Plot a graph for user growth,Declarative,28,Graph Generation
Convert no from English to Arabic,Declarative,33,Real-Time Translation UI
Who invented the airplane,Interrogative,25,Knowledge Assistant
Can you help me,Declarative,15,Conversational UI
Recommend a game,Declarative,16,Chatbot Interface
History of ancient Egypt,Conversational,24,Knowledge Assistant
That's interesting,Declarative,18,Conversational UI
Hey,Conversational,3,Conversational UI
I need suggestions for a book,Declarative,29,Chatbot Interface
Generate code in Python to create a web page,Declarative,44,Code Generator
Suggest something,Declarative,17,Chatbot Interface
Show me downtown,Imperative,16,Location Services UI
Where is Paris,Interrogative,14,Location Services UI
Teach me AI,Declarative,11,Educational Bot
What about math,Interrogative,15,Graph Generation
Write Python code for style a button,Declarative,36,Code Generator
Convert where is the bathroom from English to Dutch,Declarative,51,Real-Time Translation UI
Tell me a story,Declarative,15,Chatbot Interface
Teach me enzymes,Declarative,16,Educational Bot
What is 42 add 46,Interrogative,17,Voice Calculator
Compute 100 plus 45,Declarative,19,Voice Calculator
information on geography,Declarative,24,Educational Bot
There's an error in try: pass except: pass,Declarative,42,Code Rectification
What is the capital of China,Interrogative,28,Location Services UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Correct this CSS code: try: pass except: pass,Declarative,45,Code Rectification
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Graph user growth,Declarative,17,Graph Generation
What about geography,Interrogative,20,Real-Time Translation UI
When was the French Revolution,Interrogative,30,Knowledge Assistant
Give me advice on career,Declarative,24,Chatbot Interface
who discovered penicillin,Interrogative,25,Knowledge Assistant
Information on science,Declarative,22,Voice Calculator
Define gravity,Declarative,14,Educational Bot
Could you I would like to exercise,Declarative,34,Chatbot Interface
Graph sales data,Declarative,16,Graph Generation
Code example for create a web page in HTML,Declarative,42,Code Generator
What is DNA,Interrogative,11,Educational Bot
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Debug the following: try: pass except: pass!!,Declarative,45,Code Rectification
Give me 90 minus 44,Declarative,19,Voice Calculator
What is 98 to the power of 38,Interrogative,29,Voice Calculator
I need help with research,Declarative,25,Code Generator
Convert how are you from English to Spanish,Declarative,43,Real-Time Translation UI
What do you think about relationships,Interrogative,37,Chatbot Interface
Capital of Japan,Declarative,16,Location Services UI
Please What is 28 times 13,Declarative,26,Voice Calculator
What about science,Interrogative,18,Location Services UI
That's interesting,Declarative,18,Conversational UI
How to a login API in JavaScript,Interrogative,32,Code Generator
I would like to exercise,Declarative,24,Chatbot Interface
Find the result of 72 times 49,Imperative,30,Voice Calculator
I'm confused,Declarative,12,Conversational UI
I would like to cook,Declarative,20,Chatbot Interface
goodbye in Italian,Declarative,18,Real-Time Translation UI
Compute 72 over 31,Declarative,18,Voice Calculator
Who invented the airplane,Interrogative,25,Knowledge Assistant
Help with research,Declarative,18,Code Rectification
Translate I love you to Hindi,Imperative,29,Real-Time Translation UI
Convert maybe from English to Portuguese,Declarative,40,Real-Time Translation UI
What is 90 add 15,Interrogative,17,Voice Calculator
Tell me about the Cold War,Declarative,26,Knowledge Assistant
Who discovered the internet,Interrogative,27,Knowledge Assistant
Can you help me,Declarative,15,Chatbot Interface
Solve 22 times 40,Imperative,17,Voice Calculator
Tell me about World War II,Declarative,26,Knowledge Assistant
What is the water cycle,Interrogative,23,Educational Bot
What about geography,Interrogative,20,Conversational UI
How far is the mall,Interrogative,19,Location Services UI
Correct this JavaScript code: fetch(url).then(res => res.json,Declarative,61,Code Rectification
I'm confused,Declarative,12,Conversational UI
Tell me more,Declarative,12,Code Generator
Explain blockchain,Imperative,18,Educational Bot
How does DNA work,Interrogative,17,Educational Bot
Can you help me,Declarative,15,Conversational UI
Calculate 47 divided by 17,Imperative,26,Voice Calculator
Generate code in JavaScript to a login API,Declarative,42,Code Generator
There's an error in try: pass except: pass,Declarative,42,Code Rectification
Who wrote To Kill a Mockingbird,Interrogative,31,Knowledge Assistant
How far is the beach please,Interrogative,27,Location Services UI
Tell me a fun fact,Declarative,18,Chatbot Interface
How does electricity work,Interrogative,25,Educational Bot
Graph population growth?,Declarative,24,Graph Generation
How's it going,Interrogative,14,Conversational UI
Could you Tell me about magnetism,Declarative,33,Educational Bot
Fix this code: button { color red; },Declarative,36,Code Rectification
What happened in world war ii,Interrogative,29,Knowledge Assistant
Debug the following: button { color red; },Declarative,42,Code Rectification
Capital of Italy,Declarative,16,Location Services UI
How far is Central Park,Interrogative,23,Location Services UI
Please Help with learning,Declarative,25,Real-Time Translation UI
Where is Tokyo,Interrogative,14,Location Services UI
That's interesting,Declarative,18,Conversational UI
Visualize user growth as line,Declarative,29,Graph Generation
How to animate an element in JavaScript,Interrogative,39,Code Generator
Recommend a book,Declarative,16,Chatbot Interface
Define photosynthesis,Declarative,21,Educational Bot
What is the capital of Brazil,Interrogative,29,Location Services UI
Information on science,Declarative,22,Voice Calculator
Where is New York,Interrogative,17,Location Services UI
I would like to relax,Declarative,21,Chatbot Interface
I need help with homework?,Declarative,26,Location Services UI
How do you say please help me in Japanese,Interrogative,41,Real-Time Translation UI
Compute 70 times 44,Declarative,19,Voice Calculator
Find the result of square root of 45,Imperative,36,Voice Calculator
Create a Python script that a login API,Declarative,39,Code Generator
